Category,Subcategory,XBRL Tag
Assets,Non-Current,AarpAssetsUnderManagement
Unclassified,Non-Current,AbandonmentFunding
Assets,Non-Current,AblationIntellectualProperty
Unclassified,Current,AboveMarketChartersNet
Liabilities,Non-Current,AboveMarketLeases
Liabilities,Current,AboveMarketLeasesNet
Unclassified,Non-Current,AccountingAndLegalServicesFees
Assets,Current,AccountingReceivableFinancingFacility
Liabilities,Current,AccountPayableAndAccruedLiabilities
Liabilities,Current,AccountPayableOtherCurrent
Liabilities,Current,AccountPayableRelatedPartiesCurrent
Assets,Current,AccountReceivableExcludingReceivableFromBrokersAndDealersAndClearingOrganizationsNetOfAllowance
Assets,Current,AccountReceivablefromUSGovernmentNetNoncurrent
Assets,Current,AccountReceivableNet
Assets,Current,AccountReceivableNetAndContractReceivableRetainage
Assets,Current,AccountReceivableRelatedParties
Assets,Current,AccountsAndAccruedIncomeReceivableNet
Assets,Current,AccountsAndAccruedReceivableCurrent
Liabilities,Current,AccountsAndDraftsPayable
Assets,Current,AccountsAndFinancingReceivableAllowanceForCreditLoss
Assets,Current,AccountsAndFinancingReceivableAllowanceForCreditLossCurrent
Assets,Current,AccountsAndFinancingReceivableAllowanceForCreditLossNoncurrent
Assets,Current,AccountsAndFinancingReceivableBeforeAllowanceForCreditLossCurrent
Liabilities,Current,AccountsAndIncomeTaxesPayable
Liabilities,Current,AccountsAndNotesPayableCurrent
Liabilities,Current,AccountsAndNotesPayableExcludingRelatedPartiesCurrent
Assets,Current,AccountsAndNotesReceivableNet
Assets,Current,AccountsAndNotesReceivableNetAndDeposits
Assets,Current,AccountsAndNotesReceivableNetCurrent
Assets,Current,AccountsAndNotesReceivableNetOfAllowance
Assets,Current,AccountsAndNotesReceivableOther
Assets,Current,AccountsAndOtherReceivables
Assets,Current,AccountsAndOtherReceivablesNet
Assets,Current,AccountsAndOtherReceivablesNetCurrent
Liabilities,Current,AccountsAndPayablesToOfficersAndDirectorsCurrent
Assets,Current,AccountsNotesAndLoansReceivableNetCurrent
Assets,Current,AccountsNotesLoansAndFinancingReceivableAllowanceForCreditLoss
Liabilities,Current,AccountsPayable
Liabilities,Current,AccountsPayableAccruedExpensesAndOperatingLeaseLiabilitiesCurrent
Liabilities,Current,AccountsPayableAccruedExpensesAndOtherCurrentLiabilities
Liabilities,Current,AccountsPayableAccruedExpensesAndOtherLiabilities
Liabilities,Current,AccountsPayableAccruedExpensesAndOtherLiabilitiesCurrentAndNonCurrent
Assets,Current,AccountsPayableAccruedExpensesIntangiblesAndDeferredRevenues
Liabilities,Current,AccountsPayableAccruedLiabilities
Liabilities,Current,AccountsPayableAccruedLiabilitiesAndDerivativeLiabilitiesCurrent
Liabilities,Current,AccountsPayableAccruedLiabilitiesAndOtherCurrentLiabilitiesCurrent
Liabilities,Current,AccountsPayableAccruedLiabilitiesAndOtherLiabilities
Liabilities,Current,AccountsPayableAccruedLiabilitiesAndOtherLiabilitiesCurrent
Liabilities,Current,AccountsPayableAndAccruedExpenses
Liabilities,Current,AccountsPayableAndAccruedExpensesAndOtherLiabilities
Liabilities,Current,AccountsPayableAndAccruedExpensesCurrent
Liabilities,Current,AccountsPayableAndAccruedExpensesExcludingInterestPayableCurrent
Liabilities,Current,AccountsPayableAndAccruedExpensesRelatedParties
Liabilities,Current,AccountsPayableAndAccruedExpensesRelatedPartiesCurrent
Liabilities,Current,AccountsPayableAndAccruedExpensesRelatedParty
Liabilities,Current,AccountsPayableAndAccruedExpensesRelatedPartyCurrent
Liabilities,Current,AccountsPayableAndAccruedExpensesToRelatedPartyCurrent
Liabilities,Current,AccountsPayableAndAccruedExpenseVieWithoutRecourse
Liabilities,Current,AccountsPayableAndAccruedLiabilitie
Liabilities,Current,AccountsPayableAndAccruedLiabilities
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrentOtherThanInterestAndDividendPayable
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesExcludingAccruedIncomeTaxesCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesExcludingAccruedIncomeTaxesPayable
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesExcludingEmployeeBenefits
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesExcludingEmployeeRelatedLiabilitiesCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesNoncurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesRelatedPartiesCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesRelatedParty
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesRelatedPartyCurrent
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesRelatedToRealEstateHeldForSale
Liabilities,Current,AccountsPayableAndAccruedLiabilitiesToRelatedPartiesCurrent
Liabilities,Current,AccountsPayableAndAccruedTempPayroll
Liabilities,Current,AccountsPayableAndDividendsPayable
Liabilities,Current,AccountsPayableAndDueToAffiliatedEntities
Liabilities,Current,AccountsPayableAndOther
Liabilities,Current,AccountsPayableAndOtherAccruedLiabilities
Liabilities,Current,AccountsPayableAndOtherAccruedLiabilitiesCurrent
Liabilities,Current,AccountsPayableAndOtherAccruedLiabilitiesFairValue
Liabilities,Current,AccountsPayableAndOtherLiabilities
Liabilities,Current,AccountsPayableAndOtherLiabilitiesAtFairValue
Liabilities,Current,AccountsPayableAndOtherLiabilitiesCurrentAndNoncurrent
Liabilities,Current,AccountsPayableAndOtherPayables
Liabilities,Current,AccountsPayableBlendersTaxCreditPayables
Liabilities,Current,AccountsPayableCapitalExpendituresCurrent
Liabilities,Current,AccountsPayableClientAccounts
Liabilities,Current,AccountsPayableConsolidatedVIEsWithoutRecourseCurrent
Liabilities,Current,AccountsPayableCurrent
Liabilities,Current,AccountsPayableCurrentAndNoncurrent
Liabilities,Current,AccountsPayableCurrentDueToAffiliates
Liabilities,Current,AccountsPayableCurrentForRelatedParty
Liabilities,Current,AccountsPayableCurrentRelatedParties
Liabilities,Current,AccountsPayableCurrentRelatedParty
Liabilities,Current,AccountsPayableDueToRelatedPartyCurrent
Liabilities,Current,AccountsPayableExcludingRelatedParties
Liabilities,Current,AccountsPayableExcludingRelatedPartyPayableAndAccruedLiabilitiesCurrent
Liabilities,Current,AccountsPayableFairValueDisclosure
Liabilities,Current,AccountsPayableFloorPlan
Liabilities,Current,AccountsPayableIncludingDerivativesNetCurrent
Liabilities,Current,AccountsPayableInterestBearingNoncurrent
Assets,Current,AccountsPayableInventoryFinancing
Liabilities,Current,AccountsPayableMerchant
Liabilities,Current,AccountsPayableMerchantAndOther
Liabilities,Current,AccountsPayableNonCurrent
Liabilities,Current,AccountsPayableOfRelatedParties
Liabilities,Current,AccountsPayableOther
Liabilities,Current,AccountsPayableOtherCurrent
Liabilities,Current,AccountsPayableOtherCurrentAndNoncurrent
Liabilities,Current,AccountsPayableOthersCurrent
Assets,Current,AccountsPayablePrepaidCurrent
Liabilities,Current,AccountsPayablePrincipallyTrade
Liabilities,Current,AccountsPayableReimbursedbyClientCurrent
Liabilities,Current,AccountsPayableRelatedParties
Liabilities,Current,AccountsPayableRelatedPartiesCurrent
Liabilities,Current,AccountsPayableRelatedPartiesCurrent1
Liabilities,Current,AccountsPayableRelatedPartiesCurrent2
Liabilities,Current,AccountsPayableRelatedPartiesCurrentAmount
Liabilities,Current,AccountsPayableRelatedPartiesCurrentValue
Liabilities,Current,AccountsPayableRelatedParty
Liabilities,Current,AccountsPayableRelatedPartyCurrent
Liabilities,Current,AccountsPayableRelatedPartyCurrentAndNoncurrent
Liabilities,Current,AccountsPayableRelatedPartyNetCurrent
Liabilities,Current,AccountsPayableRelatedPartyNoncurrent
Liabilities,Current,AccountsPayableRelatedPartyPayables
Liabilities,Current,AccountsPayablesAndAccruedLiabilities
Liabilities,Current,AccountsPayablesRelatedPartiesCurrent
Liabilities,Current,AccountsPayableToAffiliatesCurrent
Liabilities,Current,AccountsPayableToHorsepersons
Liabilities,Current,AccountsPayableToRelatedCompany
Liabilities,Current,AccountsPayableToRelatedPartiesCurrent
Liabilities,Current,AccountsPayableToRelatedPartyCurrent
Liabilities,Current,AccountsPayableToThirdPartyPublishersCurrent
Liabilities,Current,AccountsPayableTowardsRelatedParties
Liabilities,Current,AccountsPayableTrade
Liabilities,Current,AccountsPayableTradeandOtherCurrent
Liabilities,Current,AccountsPayableTradeCurrent
Liabilities,Current,AccountsPayableTradeCurrentAndNoncurrent
Liabilities,Current,AccountsPayableUnderPurchaseAgreements
Liabilities,Current,AccountsPayableUnderwritersPromotersAndEmployeesOtherThanSalariesAndWagesCurrent
Assets,Current,Accountsreceivable
Assets,Current,AccountsReceivableAccruedUnbilledRevenues
Assets,Current,AccountsReceivableAffiliates
Assets,Current,AccountsReceivableAfterAllowanceForCreditLossGrowerAndFruitAdvances
Assets,Current,AccountsReceivableAfterAllowanceForCreditLossNoncurrent
Assets,Current,AccountsReceivableAllowance
Assets,Current,AccountsReceivableAllowanceForCreditLossExcludingAccruedInterestNoncurrent
Assets,Current,AccountsReceivableAllowanceForDoubtfulAccounts
Assets,Current,AccountsReceivableAllowancesCurrent
Assets,Current,AccountsReceivableAndAccruedRevenueAfterAllowanceForCreditLossCurrent
Assets,Current,AccountsReceivableAndAccruedRevenues
Assets,Current,AccountsReceivableAndContractAssetCurrent
Assets,Current,AccountsReceivableAndContractAssetsNet
Assets,Current,AccountsReceivableAndContractAssetsNetCurrent
Assets,Current,AccountsReceivableAndContractWithCustomerAssetAfterAllowanceForCreditLossCurrent
Assets,Current,AccountsReceivableAndContractWithCustomerAssetCurrent
Assets,Current,AccountsReceivableAndContractWithCustomerAssetsAllowanceForCreditLossCurrent
Assets,Current,AccountsReceivableAndContractWithCustomerAssetsNetCurrent
Assets,Current,AccountsReceivableAndFinancingReceivableAllowanceForCreditLoss
Assets,Current,AccountsReceivableAndOtherAssets
Assets,Current,Accountsreceivableandotherassetsofconsolidatedinvestmentproducts
Assets,Current,AccountsReceivableAndOtherCurrentAssets
Assets,Current,AccountsReceivableAndPrepaidExpensesCurrent
Assets,Current,AccountsReceivableBeforeAllowanceForCreditLossCurrentDueFromAffiliates
Assets,Current,AccountsReceivableBilledForLongTermContractsOrPrograms
Assets,Current,AccountsReceivableBlendersTaxCredit
Assets,Current,AccountsReceivableCapitalBuild
Assets,Current,AccountsReceivableCrudeOilResales
Assets,Current,AccountsReceivableCustomer
Assets,Current,AccountsReceivableExcludingAccruedInterestAfterAllowanceForCreditLossNoncurrent
Assets,Current,AccountsReceivableExcludingContractReceivableCurrent
Assets,Current,AccountsReceivableExcludingFinancingReceivableAfterAllowanceForCreditLoss
Assets,Current,AccountsReceivableFinancingCurrent
Assets,Current,AccountsReceivableFromRelatedCompanies
Assets,Current,AccountsReceivableFromRelatedParties
Assets,Current,AccountsReceivableFromSecuritization
Assets,Current,AccountsReceivableFromSecuritizationAllowanceForCreditLoss
Assets,Current,AccountsReceivableFromSecuritizationNoncurrent
Assets,Current,AccountsReceivableFromServicerOrTrustee
Assets,Current,AccountsReceivableFromUSGovernmentNetCurrent
Assets,Current,AccountsReceivableGross
Assets,Current,AccountsReceivableGrossCurrent
Assets,Current,AccountsReceivableIncludingDerivativesNetCurrent
Assets,Current,AccountsReceivableIncludingVariableInterestEntitiesAfterAllowanceforCreditLoss
Assets,Current,AccountsReceivableMiscellaneous
Assets,Current,AccountsReceivableNet
Assets,Current,AccountsReceivableNetCurrent
Assets,Current,AccountsReceivableNetCurrentAndOtherAssetsCurrent
Assets,Current,AccountsReceivableNetCurrentCommissionsAndAgencyFeesReceivable
Assets,Current,AccountsReceivableNetCurrentFranchiseReceivable
Assets,Current,AccountsReceivableNetCurrentParent
Assets,Current,AccountsReceivableNetCurrentRelatedParties
Assets,Current,AccountsReceivableNetLongTerm
Assets,Current,AccountsReceivableNetNoncurrent
Assets,Current,AccountsReceivableNetNoncurrentFranchiseReceivable
Assets,Current,AccountsReceivableNetRelatedPartiesCurrent
Assets,Current,AccountsReceivableNoncurrentAccruedInterestAfterAllowanceForCreditLoss
Assets,Current,AccountsReceivableNoncurrentOriginatedInCurrentFiscalYear
Assets,Current,AccountsReceivableOther
Assets,Current,AccountsReceivablePledgedAsCollateral
Assets,Current,AccountsReceivablePrepaidExpensesDeferredFinancingCostsAndOtherAssetsNet
Assets,Current,AccountsReceivableProductAndTransportation
Assets,Current,AccountsReceivableReimbursedbyClientCurrent
Assets,Current,AccountsReceivableRelatedParties1
Assets,Current,AccountsReceivableRelatedPartiesCurrent
Assets,Current,AccountsReceivableRelatedPartiesCurrent1
Assets,Current,AccountsReceivableRelatedPartiesNetCurrent
Assets,Current,AccountsReceivableRelatedParty
Assets,Current,AccountsReceivableRelatedPartyCurrent
Assets,Current,AccountsReceivableRelatedPartyNetCurrent
Assets,Current,AccountsReceivableReservesAllowancesCurrent
Assets,Current,AccountsReceivableRetainage
Assets,Current,AccountsReceivablesDueFromParent
Assets,Current,AccountsReceivableSecuritizationProgramAmountsBorrowed
Assets,Current,AccountsReceivablesRelatedPartiesCurrent
Assets,Current,AccountsReceivablesRelatedParty
Assets,Current,AccountsReceivableSubcontractor
Assets,Current,Accountsreceivabletrade
Assets,Current,AccountsReceivableTradeAfterAllowanceForCreditLossCurrent
Assets,Current,AccountsReceivableTradeCurrent
Assets,Current,AccountsReceivableTradeDueFromPartiesAndOtherReceivableCurrent
Assets,Current,AccountsReceivableUnsettledTradeCurrentAndNoncurrent
Liabilities,Current,AccreditationFeesPayableCurrent
Unclassified,Non-Current,AccrualForBlackLungBenefits
Unclassified,Non-Current,AccrualForEnvironmentalLossContingencies
Unclassified,Non-Current,AccrualForEnvironmentalLossContingenciesGross
Unclassified,Non-Current,AccrualForRebatesAndTradeDiscounts
Liabilities,Current,AccrualForStateFranchiseTaxesCurrent
Liabilities,Current,AccrualForTaxesOtherThanIncomeTaxes
Liabilities,Current,AccrualForTaxesOtherThanIncomeTaxesCurrent
Liabilities,Current,AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent
Liabilities,Current,AccrualForTaxesOtherThanIncomeTaxesIncludingAdValoremExciseSalesAndUseAndPayroll
Unclassified,Non-Current,Accruals
Unclassified,Current,AccrualsClassifiedAsCurrent
Assets,Current,AccruedAcquisitionCashConsiderationCurrent
Liabilities,Current,AccruedAcquisitionRelatedObligationsCurrent
Liabilities,Current,AccruedAdministrationExpense
Liabilities,Current,AccruedAdministrationFees
Liabilities,Current,AccruedAdministrativeAndGeneralPartnersFeesPayable
Liabilities,Current,AccruedAdministrativeServicesExpense
Liabilities,Current,AccruedAdministrativeServicesExpensePayable
Liabilities,Current,AccruedAdvertising
Liabilities,Current,AccruedAdvertisingAndMarketingCostsCurrent
Liabilities,Current,AccruedAdvertisingAndPromotion
Liabilities,Current,AccruedAdvertisingCurrent
Liabilities,Current,AccruedAirtime
Liabilities,Current,AccruedAndDeferredIncomeTaxesLongTerm
Liabilities,Current,AccruedAndOtherCurrentLiabilities
Liabilities,Current,AccruedAndOtherCurrentLiabilities.
Liabilities,Current,AccruedAndOtherLiabilities
Liabilities,Current,AccruedAndOtherLiabilitiesCurrent
Liabilities,Current,AccruedAndOtherLiabilitiesNoncurrent
Assets,Current,AccruedAndOtherReceivables
Liabilities,Current,AccruedAndOtherShortTermLiabilities
Liabilities,Current,AccruedAuditAndTaxFees
Liabilities,Current,AccruedAuditFees
Liabilities,Current,AccruedBenefitsAndWithholdings
Liabilities,Current,AccruedBoardOfDirectorCompensation
Liabilities,Current,AccruedBonusAndBenefits
Liabilities,Current,AccruedBonusesCurrent
Liabilities,Current,AccruedBonusesCurrentAndNoncurrent
Liabilities,Current,AccruedCapitalExpenditureCurrent
Liabilities,Current,AccruedCapitalExpenditures
Liabilities,Current,AccruedCapitalExpendituresCurrent
Liabilities,Current,AccruedCapitalExpensesCurrent
Liabilities,Current,AccruedCapitalGainsIncentiveFees
Liabilities,Current,AccruedCapitalRepairAndMaintenanceExpendituresCurrent
Liabilities,Current,AccruedCappingClosureAndPostClosureCostsAndEnvironmentalLossContingencies
Liabilities,Current,AccruedCappingClosurePostClosureAndEnvironmentalCosts
Liabilities,Current,AccruedCappingClosurePostClosureAndEnvironmentalCostsNoncurrent
Liabilities,Current,AccruedCappingClosurePostClosureAndRemedialLiabilitiesCurrent
Liabilities,Current,AccruedClaimsAndInsurance
Liabilities,Current,AccruedClinicalAndDevelopmentExpensesCurrent
Liabilities,Current,AccruedClinicalAndOtherResearchAndDevelopmentCostsCurrent
Liabilities,Current,AccruedClinicalAndResearchAndDevelopmentExpensesCurrent
Liabilities,Current,AccruedClinicalCurrent
Liabilities,Current,AccruedClinicalDevelopmentCostsCurrent
Liabilities,Current,AccruedClinicalLiabilities
Liabilities,Current,AccruedClinicalLiabilitiesCurrent
Liabilities,Current,AccruedClinicalSiteCostsCurrent
Liabilities,Current,AccruedClinicalSupplyCost
Liabilities,Current,AccruedClinicalTrailsExpensesCurrent
Liabilities,Current,AccruedClinicalTrialCosts
Liabilities,Current,AccruedClinicalTrialCostsCurrent
Liabilities,Current,AccruedClinicalTrialExpenseCurrent
Liabilities,Current,AccruedClinicalTrialExpensesCurrent
Liabilities,Current,AccruedCollaborationExpensesCurrent
Liabilities,Current,AccruedCollaborationLiabilityCurrent
Liabilities,Current,AccruedCommissions
Liabilities,Current,AccruedCommissionsAndAccruedPremiumTaxes
Liabilities,Current,AccruedCommissionsAndAdvisoryFeesPayable
Liabilities,Current,AccruedCommissionsAndBonusesCurrent
Liabilities,Current,AccruedCommissionsCurrent
Liabilities,Current,AccruedCommissionsNoncurrent
Liabilities,Current,AccruedCommitmentFee
Liabilities,Current,AccruedCommodityPurchasesCurrent
Liabilities,Current,AccruedCompensation
Liabilities,Current,AccruedCompensationAndNonFinancingLiabilities
Liabilities,Current,AccruedCompensationAndOtherCurrentLiabilities
Liabilities,Current,AccruedCompensationAndOtherLiabilitiesCurrent
Liabilities,Current,AccruedCompensationAndRelatedExpense
Liabilities,Current,AccruedCompensationAndRelatedExpenses
Liabilities,Current,AccruedCompensationCurrent
Liabilities,Current,AccruedCompensationNonCurrent
Liabilities,Current,Accruedcompensationrelatedparty
Liabilities,Current,AccruedConsultationFees
Liabilities,Current,AccruedContentLicenseFees
Liabilities,Current,AccruedContractedServicesCurrent
Liabilities,Current,AccruedContractPayables
Liabilities,Current,AccruedContributionsToEmployeesProfitSharingPlans
Liabilities,Current,AccruedCoreLiabilitiesCurrent
Liabilities,Current,AccruedCostOfRevenuesNoncurrent
Liabilities,Current,AccruedCustomerDepositsCurrent
Liabilities,Current,AccruedCustomerProgramLiabilitiesCurrent
Liabilities,Current,AccruedCustomerPrograms
Liabilities,Current,AccruedCustomerProgramsCurrent
Liabilities,Current,AccruedCustomerRebates
Liabilities,Current,AccruedCustomerRebatesAndReturns
Liabilities,Current,AccruedCustomerReturns
Liabilities,Current,AccruedDeferredOfferingCosts
Liabilities,Current,AccruedDevelopmentCosts
Liabilities,Current,AccruedDevelopmentExpenseCurrent
Liabilities,Current,AccruedDirectAdministrativeExpenses
Liabilities,Current,AccruedDirectorsFees
Liabilities,Current,AccruedDiscountsAndReturns
Liabilities,Current,AccruedDistributorFeesCurrent
Liabilities,Current,AccruedEarnoutAgreementCurrent
Liabilities,Current,AccruedEmployeeBenefitPlanCosts
Liabilities,Current,AccruedEmployeeBenefitsCurrent
Liabilities,Current,AccruedEmployeeBenefitsCurrentAndNoncurrent
Liabilities,Current,AccruedEmployeeBenefitsNoncurrent
Liabilities,Current,AccruedEmployeeCompensationCurrent
Liabilities,Current,AccruedEmploymentRelatedBenefitsCosts
Liabilities,Current,AccruedEnvironmentalLossContingenciesCurrent
Liabilities,Current,AccruedEnvironmentalLossContingenciesNoncurrent
Liabilities,Current,AccruedExchangeFeeRebateCurrent
Liabilities,Current,AccruedExciseTax
Liabilities,Current,AccruedExpenseAndOtherCurrentLiabilities
Liabilities,Current,AccruedExpenseAndOtherLiabilitiesCurrent
Liabilities,Current,AccruedExpenseRelatedParty
Liabilities,Current,AccruedExpenses
Liabilities,Current,AccruedExpensesAccruedCompensationAndOtherLiabilitiesCurrent
Liabilities,Current,AccruedExpensesAndDeferredRevenueCurrent
Liabilities,Current,AccruedExpensesAndOther
Liabilities,Current,AccruedExpensesAndOtherConsolidatedFunds
Liabilities,Current,AccruedExpensesAndOtherCurrentLiabilites
Liabilities,Current,AccruedExpensesAndOtherCurrentLiabilities
Liabilities,Current,AccruedExpensesAndOtherCurrentLiabilitiesConsolidatedVIEsWithoutRecourseCurrent
Liabilities,Current,Accruedexpensesandothercurrentliabilitiesnet
Liabilities,Current,AccruedExpensesAndOtherCurrentLiabilitiesRelatedPartiesCurrent
Liabilities,Current,AccruedExpensesAndOtherCurrentLiability
Liabilities,Current,AccruedExpensesAndOtherLiabilities
Liabilities,Current,AccruedExpensesAndOtherLiabilitiesCurrent
Liabilities,Current,AccruedExpensesAndOtherLiabilitiesExcludingInterestPayableCurrent
Liabilities,Current,AccruedExpensesAndOtherLiabilitiesFairValueDisclosure
Liabilities,Current,AccruedExpensesAndOtherLiabilitiesNoncurrent
Liabilities,Current,AccruedExpensesAndOtherLiabilitiesRelatedPartiesCurrent
Liabilities,Current,AccruedExpensesAndOtherLiabilityCurrent
Liabilities,Current,AccruedExpensesAndOtherObligations
Liabilities,Current,AccruedExpensesAndOtherPayablesRelatedParties
Liabilities,Current,AccruedExpensesCurrent
Liabilities,Current,AccruedExpensesEmployeeRelatedLiabilitiesandOtherCurrent
Liabilities,Current,AccruedExpensesFormationAndOfferingCosts
Liabilities,Current,AccruedExpensesNet
Liabilities,Current,AccruedExpensesOtherPayablesAndDepositsReceivedCurrent
Liabilities,Current,AccruedExpensesPayableAndOtherLiabilities
Liabilities,Current,AccruedExpensesRelatedParties
Liabilities,Current,AccruedExpensesRelatedParty
Liabilities,Current,AccruedExpensesRelatedPartyCurrent
Liabilities,Current,AccruedExplorationAndDevelopmentCurrent
Liabilities,Current,AccruedExternalResearchAndDevelopmentExpensesCurrent
Assets,Current,AccruedFeesAndOtherRevenueReceivable
Assets,Current,AccruedFeesandOtherRevenueReceivableGrossCurrent
Liabilities,Current,AccruedFiduciaryObligationsCurrent
Liabilities,Current,AccruedFinalPaymentFeeOnTermLoanCurrent
Liabilities,Current,AccruedFranchiseTax
Liabilities,Current,AccruedFranchiseTaxPayableCurrent
Liabilities,Current,AccruedGatheringFees
Liabilities,Current,AccruedGeneralAndAdministrativeExpenses
Liabilities,Current,AccruedGivebackObligations
Liabilities,Current,AccruedGovernmentRebates
Liabilities,Current,AccruedGroundwaterExtractionChargesPurchasedWaterAndPower
Liabilities,Current,AccruedGroupWelfareAndRetirementPlanContributions
Liabilities,Current,AccruedHealthInsuranceCosts
Liabilities,Current,AccruedHostPaymentsAndInsuranceFeescurrent
Assets,Current,AccruedIncomeReceivableFromRealEstateLoansHeldInTrust
Liabilities,Current,AccruedIncomesTaxes
Liabilities,Current,AccruedIncomeTaxes
Liabilities,Current,AccruedIncomeTaxesCurrent
Liabilities,Current,AccruedIncomeTaxesNoncurrent
Liabilities,Current,AccruedIncomeTaxesNoncurrentAndLiabilityForUncertainTaxPositionsNoncurrent
Liabilities,Current,AccruedIncomeTaxesPayable
Liabilities,Current,AccruedInsurance
Liabilities,Current,AccruedInsuranceCurrent
Liabilities,Current,AccruedInsuranceCurrentAndNoncurrent
Liabilities,Current,AccruedInsuranceNoncurrent
Liabilities,Current,AccruedInterest
Assets,Current,AccruedInterestAndAccountsReceivable
Assets,Current,AccruedInterestAndDividendsReceivable
Liabilities,Current,AccruedInterestAndFeesPayable
Assets,Current,AccruedInterestAndFeesReceivable
Assets,Current,AccruedInterestAndOperatingLeaseIncomeReceivableNet
Liabilities,Current,AccruedInterestAndOtherBorrowingCosts
Liabilities,Current,AccruedInterestAndOtherLiabilities
Assets,Current,AccruedInterestAndOtherReceivables
Liabilities,Current,AccruedInterestAndTaxes
Liabilities,Current,AccruedInterestAndTaxesPayable
Assets,Current,AccruedInterestAssetsInReceivership
Liabilities,Current,AccruedInterestAssociatedWithDerecognitionOfRealEstateInvestmentProperties
Liabilities,Current,AccruedInterestCurrent
Liabilities,Current,AccruedInterestExpense
Liabilities,Current,AccruedInterestNoncurrent
Liabilities,Current,AccruedInterestOnConvertibleNotes
Liabilities,Current,AccruedInterestonConvertibleNotesCurrent
Liabilities,Current,AccruedInterestOnConvertibleNotesIncludingRelatedParty
Liabilities,Current,AccruedInterestPayableAndOther
Liabilities,Current,AccruedInterestPayableAndOtherLiabilities
Liabilities,Current,AccruedInterestPayableCurrent
Liabilities,Current,AccruedInterestPayableNoncurrent
Liabilities,Current,AccruedInterestPayableRelatedPartiesCurrent
Liabilities,Current,AccruedInterestPayableRelatedParty
Assets,Current,AccruedInterestReceivable
Assets,Current,AccruedInterestReceivableAndOtherAssets
Liabilities,Current,AccruedInterestRelatedParties
Liabilities,Current,AccruedInterestRelatedPartiesCurrent
Liabilities,Current,AccruedInterestRelatedParty
Liabilities,Current,AccruedInterestRelatedPartyCurrent
Liabilities,Current,AccruedInvestmentIncome
Assets,Current,AccruedInvestmentIncomeReceivable
Assets,Current,AccruedInvestmentIncomeReceivableNet
Assets,Current,AccruedInvestmentIncomeReceivables
Liabilities,Current,AccruedInvestmentInterestPayable
Liabilities,Current,AccruedIssuableEquityForServicesCurrent
Liabilities,Current,AccruedLeagueRelatedChargesCurrent
Liabilities,Current,AccruedLegalContingenciesCurrent
Liabilities,Current,AccruedLegalFee
Liabilities,Current,AccruedLegalFees
Liabilities,Current,AccruedLegalFeesCurrent
Liabilities,Current,AccruedLegalSettlement
Liabilities,Current,AccruedLegalSettlementCurrent
Liabilities,Current,AccruedLegalSettlementNonCurrent
Liabilities,Current,AccruedLiabilities
Liabilities,Current,AccruedLiabilitiesAccruedIncomeTaxesAndOtherLiabilitiesCurrent
Liabilities,Current,AccruedLiabilitiesAndDeferredRevenue
Liabilities,Current,AccruedLiabilitiesAndEmployeeRelatedLiabilitiesCurrent
Liabilities,Current,AccruedLiabilitiesAndInterestAndEmployeeRelatedLiabilitiesCurrent
Liabilities,Current,AccruedLiabilitiesAndOther
Liabilities,Current,AccruedLiabilitiesAndOtherAccruedLiabilitiesCurrent
Liabilities,Current,AccruedLiabilitiesAndOtherCurrent
Liabilities,Current,AccruedLiabilitiesAndOtherCurrentLiabilities
Liabilities,Current,AccruedLiabilitiesAndOtherCurrentLiabilitiesCurrent
Liabilities,Current,AccruedLiabilitiesAndOtherLiabilities
Liabilities,Current,AccruedLiabilitiesAndOtherLiabilitiesCurrent
Liabilities,Current,AccruedLiabilitiesAndOtherLiabilitiesCurrentExcludingWarranty
Liabilities,Current,AccruedLiabilitiesAndOtherLiabilitiesExcludingAccruedCompensationCurrent
Liabilities,Current,AccruedLiabilitiesAndOtherLiabilitiesNonCurrent
Liabilities,Current,AccruedLiabilitiesClinicalCurrent
Liabilities,Current,AccruedLiabilitiesClinicalTrialCurrent
Liabilities,Current,AccruedLiabilitiesCurrent
Liabilities,Current,AccruedLiabilitiesCurrent1
Liabilities,Current,AccruedLiabilitiesCurrentAndNoncurrent
Liabilities,Current,AccruedLiabilitiesCurrentRelatedParty
Liabilities,Current,AccruedLiabilitiesDueToSpnRelatedPartyCurrent
Liabilities,Current,AccruedLiabilitiesDueToSpnRelatedPartyNonCurrent
Liabilities,Current,AccruedLiabilitiesExcludingEmployeeRelatedLiabilitiesCurrent
Liabilities,Current,AccruedLiabilitiesExcludingIncomeTaxesCurrent
